Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
51	ampere11.cc.gatech.edu	1775446529.983	  1825.111	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_c2h4o_ethylene_oxide_t.gz 100000000 -pp 100000000 --total-program-instructions 532474699 -a 4 -f 30000 &> out/rdr_micro2026/simulation_results/baseline_f30k/BQ_c2h4o_ethylene_oxide_t.out
41	ampere11.cc.gatech.edu	1775446528.956	  1829.880	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_c2h4o_ethylene_oxide_q.gz 100000000 -pp 100000000 --total-program-instructions 553239611 -a 4 -f 30000 &> out/rdr_micro2026/simulation_results/baseline_f30k/BQ_c2h4o_ethylene_oxide_q.out
1	ampere11.cc.gatech.edu	1775446524.868	  1839.625	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_chromium_q.gz 100000000 -pp 100000000 --total-program-instructions 558107204 -a 4 -f 30000 &> out/rdr_micro2026/simulation_results/baseline_f30k/BQ_chromium_q.out
61	ampere11.cc.gatech.edu	1775446531.006	  1843.349	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_hc3h2cn_q.gz 100000000 -pp 100000000 --total-program-instructions 567514424 -a 4 -f 30000 &> out/rdr_micro2026/simulation_results/baseline_f30k/BQ_hc3h2cn_q.out
71	ampere11.cc.gatech.edu	1775446532.031	  1847.309	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_hc3h2cn_t.gz 100000000 -pp 100000000 --total-program-instructions 509061509 -a 4 -f 30000 &> out/rdr_micro2026/simulation_results/baseline_f30k/BQ_hc3h2cn_t.out
31	ampere11.cc.gatech.edu	1775446527.932	  1865.338	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_bose_hubbard_t.gz 100000000 -pp 100000000 --total-program-instructions 235774640 -a 4 -f 30000 &> out/rdr_micro2026/simulation_results/baseline_f30k/BQ_bose_hubbard_t.out
21	ampere11.cc.gatech.edu	1775446526.910	  1889.078	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_bose_hubbard_q.gz 100000000 -pp 100000000 --total-program-instructions 290669020 -a 4 -f 30000 &> out/rdr_micro2026/simulation_results/baseline_f30k/BQ_bose_hubbard_q.out
11	ampere11.cc.gatech.edu	1775446525.888	  1920.786	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif/BQ_chromium_t.gz 100000000 -pp 100000000 --total-program-instructions 510434112 -a 4 -f 30000 &> out/rdr_micro2026/simulation_results/baseline_f30k/BQ_chromium_t.out
181	ampere09.cc.gatech.edu	1775446543.431	  2011.690	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_c2h4o_ethylene_oxide_q.gz 100000000 -pp 100000000 --total-program-instructions 553239611 -a 4 -f 30000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f30k/BQ_c2h4o_ethylene_oxide_q.out
211	ampere09.cc.gatech.edu	1775446546.563	  2023.689	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_hc3h2cn_t.gz 100000000 -pp 100000000 --total-program-instructions 509061509 -a 4 -f 30000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f30k/BQ_hc3h2cn_t.out
171	ampere09.cc.gatech.edu	1775446542.386	  2034.203	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_bose_hubbard_t.gz 100000000 -pp 100000000 --total-program-instructions 235774640 -a 4 -f 30000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f30k/BQ_bose_hubbard_t.out
221	ampere09.cc.gatech.edu	1775446547.601	  2029.918	0	0	0	0	./build/quicksilver benchmarks/bin/compiled/rdr_micro2026/eif_rdr/BQ_manganese_nitride_q.gz 100000000 -pp 100000000 --total-program-instructions 511694490 -a 4 -f 30000 -rdr 1 --rdr-capacity 2 --rdr-start-layer 2 --rdr-lookahead-depth 16 --rdr-degree 4 --rdr-completion-buffer-capacity 4 &> out/rdr_micro2026/simulation_results/rdr_f30k/BQ_manganese_nitride_q.out
