[ MEMOPT ] num qubits: 121
[ MEMOPT ] progress: 100003 instructions processed, 32809 memory instructions, 0 prefetches
[ MEMOPT ] progress: 200002 instructions processed, 67231 memory instructions, 0 prefetches
[ MEMOPT ] progress: 300000 instructions processed, 100799 memory instructions, 0 prefetches
[ MEMOPT ] progress: 400005 instructions processed, 134959 memory instructions, 0 prefetches
[ MEMOPT ] progress: 500004 instructions processed, 170243 memory instructions, 0 prefetches
[ MEMOPT ] progress: 600000 instructions processed, 205714 memory instructions, 0 prefetches
[ MEMOPT ] progress: 700000 instructions processed, 242087 memory instructions, 0 prefetches
[ MEMOPT ] progress: 800005 instructions processed, 276839 memory instructions, 0 prefetches
[ MEMOPT ] progress: 900004 instructions processed, 312848 memory instructions, 0 prefetches
[ MEMOPT ] progress: 1000002 instructions processed, 348595 memory instructions, 0 prefetches
done -- inst completed: 1000002, memory instructions added: 348595, memory prefetches added: 0, unused bandwidth: 168882, emission calls: 181154, mean lifetime: nan, total timesteps: 362310
