[ MEMOPT ] num qubits: 289
[ MEMOPT ] progress: 100003 instructions processed, 26664 memory instructions, 0 prefetches
[ MEMOPT ] progress: 200004 instructions processed, 53177 memory instructions, 0 prefetches
[ MEMOPT ] progress: 300005 instructions processed, 79977 memory instructions, 0 prefetches
[ MEMOPT ] progress: 400004 instructions processed, 106949 memory instructions, 0 prefetches
[ MEMOPT ] progress: 500003 instructions processed, 134333 memory instructions, 0 prefetches
[ MEMOPT ] progress: 600006 instructions processed, 161679 memory instructions, 0 prefetches
[ MEMOPT ] progress: 700000 instructions processed, 189078 memory instructions, 0 prefetches
[ MEMOPT ] progress: 800004 instructions processed, 216087 memory instructions, 0 prefetches
[ MEMOPT ] progress: 900000 instructions processed, 242724 memory instructions, 0 prefetches
[ MEMOPT ] progress: 1000002 instructions processed, 269361 memory instructions, 0 prefetches
done -- inst completed: 1000002, memory instructions added: 269361, memory prefetches added: 0, unused bandwidth: 79269, emission calls: 122824, mean lifetime: nan, total timesteps: 245649
