[ MEMOPT ] num qubits: 121
[ MEMOPT ] progress: 100003 instructions processed, 33888 memory instructions, 0 prefetches
[ MEMOPT ] progress: 200001 instructions processed, 67629 memory instructions, 0 prefetches
[ MEMOPT ] progress: 300000 instructions processed, 101809 memory instructions, 0 prefetches
[ MEMOPT ] progress: 400005 instructions processed, 137720 memory instructions, 0 prefetches
[ MEMOPT ] progress: 500004 instructions processed, 173745 memory instructions, 0 prefetches
[ MEMOPT ] progress: 600000 instructions processed, 209651 memory instructions, 0 prefetches
[ MEMOPT ] progress: 700002 instructions processed, 246391 memory instructions, 0 prefetches
[ MEMOPT ] progress: 800002 instructions processed, 281931 memory instructions, 0 prefetches
[ MEMOPT ] progress: 900004 instructions processed, 318924 memory instructions, 0 prefetches
[ MEMOPT ] progress: 1000006 instructions processed, 355638 memory instructions, 0 prefetches
done -- inst completed: 1000006, memory instructions added: 355638, memory prefetches added: 0, unused bandwidth: 316119, emission calls: 248659, mean lifetime: nan, total timesteps: 497320
